id,tcg_id
2293998,ecard2-107
842587,ecard2-60
2293951,ecard2-60
842560,ecard2-33
2293924,ecard2-33
842561,ecard2-34
887951,ecard2-H22
2293925,ecard2-34
842627,ecard2-108
2293999,ecard2-108
842628,ecard2-109
2294000,ecard2-109
842588,ecard2-61
2293952,ecard2-61
842629,ecard2-110
2294001,ecard2-110
887932,ecard2-111
842589,ecard2-62
2294002,ecard2-111
2293953,ecard2-62
842562,ecard2-35
887952,ecard2-H23
2293926,ecard2-35
842563,ecard2-36
887953,ecard2-H24
2293927,ecard2-36
842564,ecard2-37
887954,ecard2-H25
5878912,ecard2-8
2293928,ecard2-37
842650,ecard2-134
2294025,ecard2-134
842630,ecard2-112
2294003,ecard2-112
842631,ecard2-113
2294004,ecard2-113
842565,ecard2-38
887955,ecard2-H26
2293929,ecard2-38
842651,ecard2-135
2294026,ecard2-135
842632,ecard2-114
2294005,ecard2-114
842566,ecard2-39
887956,ecard2-H27
2293930,ecard2-39
842652,ecard2-136
2294027,ecard2-136
842653,ecard2-137
2294028,ecard2-137
842567,ecard2-40
887957,ecard2-H28
2293931,ecard2-40
842590,ecard2-63
2293954,ecard2-63
842568,ecard2-41
887958,ecard2-H29
2293932,ecard2-41
842654,ecard2-138
2294029,ecard2-138
842569,ecard2-42
887960,ecard2-H30
2293933,ecard2-42
842570,ecard2-43
887961,ecard2-H31
2293934,ecard2-43
887933,ecard2-115
842591,ecard2-64
2294006,ecard2-115
2293955,ecard2-64
842633,ecard2-116
2294007,ecard2-116
842663,ecard2-147
2294038,ecard2-147
842656,ecard2-140
2294031,ecard2-140
842657,ecard2-141
2294032,ecard2-141
842592,ecard2-65
2293956,ecard2-65
887934,ecard2-117
842593,ecard2-66
2294008,ecard2-117
2293957,ecard2-66
842571,ecard2-44
887962,ecard2-H32
2293935,ecard2-44
925632,pl4-13
925743,pl4-13
925719,pl4-AR1
925720,pl4-AR2
925721,pl4-AR3
925722,pl4-AR4
925723,pl4-AR5
925724,pl4-AR6
925725,pl4-AR7
925726,pl4-AR8
925727,pl4-AR9
925713,pl4-94
925714,pl4-95
925715,pl4-96
925671,pl4-52
925728,pl4-SH10
925782,pl4-52
925672,pl4-53
925783,pl4-53
925701,pl4-82
925812,pl4-82
925702,pl4-83
925813,pl4-83
925633,pl4-14
925652,pl4-33
925744,pl4-14
925763,pl4-33
925653,pl4-34
925673,pl4-54
925764,pl4-34
925784,pl4-54
925703,pl4-84
925814,pl4-84
925674,pl4-55
925785,pl4-55
925675,pl4-56
925676,pl4-57
925677,pl4-58
925786,pl4-56
925787,pl4-57
925788,pl4-58
925620,pl4-1
5551260,pl4-1
925731,pl4-1
925678,pl4-59
925789,pl4-59
925654,pl4-35
925765,pl4-35
925634,pl4-15
925745,pl4-15
925679,pl4-60
925790,pl4-60
925680,pl4-61
925791,pl4-61
925704,pl4-85
925815,pl4-85
925711,pl4-92
925822,pl4-92
925681,pl4-62
925682,pl4-63
925792,pl4-62
925793,pl4-63
925705,pl4-86
925816,pl4-86
925706,pl4-87
925817,pl4-87
925621,pl4-2
925732,pl4-2
925655,pl4-36
925683,pl4-64
925766,pl4-36
925794,pl4-64
925635,pl4-16
925636,pl4-17
925716,pl4-97
925746,pl4-16
925747,pl4-17
925684,pl4-65
925795,pl4-65
925637,pl4-18
925748,pl4-18
925638,pl4-19
925749,pl4-19
925656,pl4-37
925767,pl4-37
925657,pl4-38
925658,pl4-39
925768,pl4-38
925769,pl4-39
925659,pl4-40
925685,pl4-66
925770,pl4-40
925796,pl4-66
925639,pl4-20
925750,pl4-20
925660,pl4-41
925661,pl4-42
925771,pl4-41
925772,pl4-42
925622,pl4-3
925733,pl4-3
925712,pl4-93
