PCID,TCGID,
925432,90468,
1563476,89908,
886773,213119,
886952,213094,
958907,98120,
5602020,NA,
7211572,NA,
887072,213263,
4200372,NA,
1656590,NA,
1656620,NA,
1563478,86914,
643523,85534,
4934188,488073,
886639,87606,
4934114,487955,
6944743,NA,
958866,98079,
6714564,547653,
844601,118874,
886878,213252,
925591,88476,
958839,98052,
925498,90248,
4934059,487867,
886884,213261,
849217,83567,
958665,95946,
849365,89037,
4286164,NA,
4895793,488274,
1656610,NA,
5917448,NA,
5917427,NA,
6614185,NA,
844946,139099,
1656609,NA,
762973,88944,
844680,127144,
643549,89851,
845036,NA,
5698617,NA,
849274,84887,
849382,88928,
5133982,NA,
886876,213249,
925578,85958,
7136274,NA,
849250,85045,
4991262,NA,
4934128,487978,
959016,98130,
1563474,NA,
887078,213274,
925478,89449,
886978,213134,
886761,213105,
4933875,487971,
886813,213170,
886885,213262,
1563422,90734,
886627,86011,
4933974,486622,
4934115,487956,
1563402,89379,
925433,NA,
6657145,NA,
925612,90156,
5810918,NA,
5672143,NA,
3374830,268445,
3889311,NA,
1563481,85664,
7456537,NA,
5960321,512506,
6770001,NA,
643528,86894,
844849,183969,
762887,85632,
762999,84111,
5811029,517175,
1563426,NA,
925526,87521,
4034101,NA,
4200371,NA,
849289,83619,
4933783,487834,
762932,90744,
4933834,487908,
887029,213204,
762930,90605,
763021,88182,
887051,213236,
6858155,NA,
763002,87125,
886843,213208,
887032,213207,
886854,213223,
3233015,NA,
6903574,NA,
5711035,NA,
844589,123434,
845060,87920,
844751,108615,
887066,213255,
1656544,232766,
886820,213177,
849295,86895,
958950,98053,
2720038,NA,
925519,84710,
925493,90156,
925523,86329,
958948,98051,
886607,83630,
7549851,NA,
887068,213259,
844786,177901,
886855,213224,
844890,188322,
886892,213274,
887027,213200,
1656563,NA,
886760,213104,
886770,213116,
958966,98072,
925610,NA,
925554,85166,
958847,98060,
844714,100507,
2245027,NA,
958912,98125,
844633,NA,
849246,84070,
4557012,NA,
959013,98127,
844604,96376,
1656533,NA,
6903518,NA,
4080617,NA,
5830304,NA,
6392368,NA,
1656596,NA,
844912,204984,
6777979,NA,
7323391,NA,
844857,185986,
844873,189756,
4793427,NA,
849195,86336,
959019,98133,
844940,152933,
3398926,90720,
1563438,89904,
958898,98111,
844866,185247,
1563466,89889,
886751,213089,
849292,85024,
762982,89097,
886986,213143,
849235,87648,
886919,213090,
4134648,NA,
844688,96386,
6776104,NA,
849233,86814,
6776411,NA,
958831,98044,
886903,213102,
886956,213100,
4934079,487897,
886608,85129,
925565,89535,
4780193,491188,
886610,87126,
886784,213134,
959011,98125,
925499,NA,
3978548,NA,
6903519,NA,
5917425,NA,
5769008,NA,
4952879,NA,
845031,NA,
6905949,NA,
7321552,NA,
844621,147234,
844666,127132,
7321549,NA,
844794,153995,
5115015,NA,
762892,89288,
849236,87818,
958838,98051,
845029,NA,
886859,213228,
849278,84328,
762898,87974,
886621,83904,
886997,213163,
4933919,488033,
925494,90406,
925536,85658,
762942,88381,
925559,86581,
925466,87640,
925547,NA,
849238,87975,
5551140,NA,
4050290,NA,
958492,95927,
3233017,NA,
6635130,NA,
958625,95888,
887050,213231,
844965,148430,
763015,85220,
849377,90464,
7638292,NA,
844686,131694,
844636,NA,
958905,98118,
836392,213289,
886896,213281,
4196911,228981,
1563456,96885,
762983,90556,
5834256,NA,
844726,152934,
4933800,487860,
959012,98126,
849273,90745,
762981,89021,
849342,90654,
925431,NA,
958889,98102,
4934087,487908,
849372,90606,
844657,127138,
886889,213268,
886864,213236,
925511,85380,
886775,213123,
886805,213162,
4933835,487910,
3312091,NA,
925564,89100,
844734,NA,
4311887,451116,
6837999,NA,
7321554,NA,
6339852,NA,
5963771,NA,
1563449,96574,
844613,121947,
4934186,488071,
886967,213117,
886875,213250,
4080623,151705,
886938,213074,
849218,83679,
886737,213074,
4934054,487860,
3770615,278705,
925456,NA,
925484,83439,
762944,88330,
958853,98066,
5013825,489938,
886622,88945,
762988,85935,
845021,NA,
762897,87797,
762940,88237,
958971,98077,
958989,98100,
887021,213191,
849268,89294,
5013888,475428,
844641,126567,
6770012,NA,
2396884,NA,
5013847,475429,
958841,98054,
762948,88545,
925418,85660,
4034095,178795,
4285953,NA,
958482,95909,
886769,213115,
4110298,NA,
6836981,NA,
7024728,NA,
958902,98115,
6775546,NA,
5058647,NA,
958974,98080,
845026,NA,
763016,85225,
844720,100511,
844553,85568,
1656605,NA,
925473,89033,
925437,85746,
844610,NA,
762895,83953,
844642,123455,
4405295,NA,
762931,90647,
886955,213099,
844853,184495,
5298575,500833,
886887,213264,
5977917,NA,
887070,213261,
925426,87709,
844992,154718,
886836,213200,
5827242,NA,
958897,98110,
887073,213264,
4934119,487961,
925574,85086,
958961,98065,
925490,89625,
849267,89262,
5917418,NA,
886738,213075,
959018,98132,
4991224,475426,
925460,86080,
1563415,84992,
925516,84238,
6563170,NA,
844763,114007,
7518409,NA,
4686349,NA,
1563420,88909,
958463,95890,
6740132,NA,
958911,98124,
